react_id;name;rule;subsystem;lb;ub;ocf
12DGR120tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR140tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR141tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR160tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR161tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR180tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0);;Transport, Inner Membrane;0.000000;1000.000000;0
12DGR181tipp; 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1);;Transport, Inner Membrane;0.000000;1000.000000;0
12PPDRtex;(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm);(b2215) or (b0241) or (b1377) or (b0929);Transport, Outer Membrane Porin;0.000000;1000.000000;0
12PPDRtpp;(R)-Propane-1,2-diol facilitated transport (periplasm);;Transport, Inner Membrane;0.000000;1000.000000;0
12PPDStex;(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm);(b2215) or (b0241) or (b1377) or (b0929);Transport, Outer Membrane Porin;0.000000;1000.000000;0
12PPDStpp;(S)-Propane-1,2-diol facilitated transport (periplasm);;Transport, Inner Membrane;0.000000;1000.000000;0
14GLUCANabcpp; 1,4-alpha-D-glucan transport via ABC system (periplasm);(b4035) and (b4032) and (b4033) and (b4034);Transport, Inner Membrane;0.000000;1000.000000;0
14GLUCANtexi; 1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible;(b4036);Transport, Outer Membrane;0.000000;1000.000000;0
23CAMPtex; 23cAMP transport via diffusion (extracellular to periplasm);(b2215) or (b0241) or (b1377) or (b0929);Transport, Outer Membrane Porin;0.000000;1000.000000;0
